DatasetIdentifier,Publisher,SourceRepository,YearPublished
snd1050-1,Uppsala University,DORIS,2018
ext0300-1,Institute for Language and Folklore,DORIS (only metadata),2020
ext0299-1,Institute for Language and Folklore,DORIS (only metadata),2020
ext0298-1,Institute for Language and Folklore,DORIS (only metadata),2020
ext0297-1,Institute for Language and Folklore,DORIS (only metadata),2020
ext0296-1,Institute for Language and Folklore,DORIS (only metadata),2020
ext0295-1,Institute for Language and Folklore,DORIS (only metadata),2020
ext0293-1,Institute for Language and Folklore,DORIS (only metadata),2020
ext0292-1,Institute for Language and Folklore,DORIS (only metadata),2020
ext0291-1,Institute for Language and Folklore,DORIS (only metadata),2020
ext0290-1,Institute for Language and Folklore,DORIS (only metadata),2020
ext0289-1,Institute for Language and Folklore,DORIS (only metadata),2020
ext0268-1,Umeå University,DORIS (only metadata),2017
ecds0082-1,Swedish Institute of Space Physics,DORIS,2019
ecds0061-1,SMHI - Swedish Meteorological and Hydrological Institute,DORIS,2019
snd1090-1,Chalmers University of Technology,DORIS,2019
ecds0075-1,SMHI - Swedish Meteorological and Hydrological Institute,DORIS,2019
snd1088-1,Lund University,DORIS,2019
snd1087-1,Stockholm University,DORIS,2019
ext0282-1,Umeå University,DORIS (only metadata),2019
snd1084-1,Lund University,DORIS,2019
snd1049-1,University of Gothenburg,DORIS,2018
snd1029-1,Tokyo Metropolitan University,DORIS,2017
ecds0145-1,Linnaeus University,DORIS,2021
snd1036-1,Linnaeus University,DORIS,2017
ecds0141-1,Linnaeus University,DORIS,2019
snd1037-1,Linnaeus University,DORIS,2017
snd1041-1,Uppsala University,DORIS,2018
snd1083-1,University of Gothenburg,DORIS,2019
snd1082-1,University of Gothenburg,DORIS,2019
ecds0156-2,SMHI - Swedish Meteorological and Hydrological Institute,DORIS,2019
ecds0156-1,SMHI - Swedish Meteorological and Hydrological Institute,DORIS,2019
snd1080-1,Lund University,DORIS,2019
ecds0150-1,Stockholm University,DORIS,2019
ecds0100-1,SMHI - Swedish Meteorological and Hydrological Institute,DORIS,2019
snd1079-1,Uppsala University,DORIS,2019
snd1077-1,Umeå University,DORIS,2018
snd1076-1,Stockholm University,DORIS,2018
snd1072-1,University of Gothenburg,DORIS,2022
snd1064-1,Karolinska Institutet,DORIS,2019
snd1073-1,Swedish University of Agricultural Sciences,DORIS,2018
snd1070-1,University of Gothenburg,DORIS,2019
snd1068-1,Uppsala University,DORIS,2018
ecds0062-1,SMHI - Swedish Meteorological and Hydrological Institute,DORIS,2019
snd2012-1,Uppsala University,DORIS,2012
snd2011-1,Uppsala University,DORIS,2012
snd2007-1,Uppsala University,DORIS,2012
snd2006-1,Arkeologikonsult,DORIS,2012
snd2013-1,Uppsala University,DORIS,2012
snd2005-1,Uppsala University,DORIS,2012
snd2010-1,Arkeologikonsult,DORIS,2012
snd2009-1,Arkeologikonsult,DORIS,2012
snd2008-1,Uppsala University,DORIS,2012
snd2003-1,Uppsala University,DORIS,2012
snd0884-1,Umeå University,DORIS,2010
snd0820-1,Arbetslivsinstitutet,DORIS,2007
snd0794-3,Stockholm University,DORIS,2008
snd0794-1,Stockholm University,DORIS,2003
snd0872-1,Linnaeus University,DORIS,2009
snd0840-1,Arbetslivsinstitutet,DORIS,2007
snd0996-1,University of Gothenburg,DORIS,2017
snd1081-1,Lund University,DORIS,2019
snd1056-2,University of Gothenburg,DORIS,2018
snd0906-2,Uppsala University,DORIS,2012
