URL,SourceRepository,YearPublished,Publisher1
https://researchdata.se/en/catalogue/dataset/2020-64-1,DORIS,2020,Lund University
https://researchdata.se/en/catalogue/dataset/2020-59-3,DORIS,2020,University of Gothenburg
https://researchdata.se/en/catalogue/dataset/2020-72-1,DORIS,2021,University of Gothenburg
https://researchdata.se/en/catalogue/dataset/2020-68-1,DORIS,2020,Linnaeus University
https://researchdata.se/en/catalogue/dataset/2020-74-1,DORIS,2020,Umeå University
https://researchdata.se/en/catalogue/dataset/2020-73-1,DORIS,2025,Stockholm University
https://researchdata.se/en/catalogue/dataset/2020-81-1,DORIS,2020,Umeå University
https://researchdata.se/en/catalogue/dataset/2020-95-2,DORIS,2020,University of Gothenburg
https://researchdata.se/en/catalogue/dataset/2021-103-1,DORIS,2023,Karlstad University
https://researchdata.se/en/catalogue/dataset/2020-90-1,DORIS,2021,Karolinska Institutet
https://researchdata.se/en/catalogue/dataset/2020-94-1,DORIS,2020,Swedish Institute of Space Physics
https://researchdata.se/en/catalogue/dataset/2020-96-1,DORIS,2020,Umeå University
https://researchdata.se/en/catalogue/dataset/2021-120-1,DORIS,2021,Swedish Polar Research Secretariat
https://researchdata.se/en/catalogue/dataset/2021-116-1,DORIS,2021,Swedish University of Agricultural Sciences
https://researchdata.se/en/catalogue/dataset/2021-123-1,DORIS,2022,Swedish Polar Research Secretariat
https://researchdata.se/en/catalogue/dataset/2021-108-1,DORIS,2021,Karolinska Institutet
https://researchdata.se/en/catalogue/dataset/2021-118-1,DORIS,2021,Swedish Polar Research Secretariat
https://researchdata.se/en/catalogue/dataset/2021-125-2,DORIS,2022,Luleå University of Technology
https://researchdata.se/en/catalogue/dataset/2021-119-1,DORIS,2021,Swedish Polar Research Secretariat
https://researchdata.se/en/catalogue/dataset/2021-124-1,DORIS,2021,Royal Institute of Technology
https://researchdata.se/en/catalogue/dataset/2021-125-1,DORIS,2021,Luleå University of Technology
https://researchdata.se/en/catalogue/dataset/2021-152-1,DORIS,2021,Swedish University of Agricultural Sciences
https://researchdata.se/en/catalogue/dataset/2021-131-1,DORIS,2021,Chalmers University of Technology
https://researchdata.se/en/catalogue/dataset/2021-177-1,DORIS,2022,RISE Research Institutes of Sweden
https://researchdata.se/en/catalogue/dataset/2021-174-1,DORIS,2022,Linnaeus University
https://researchdata.se/en/catalogue/dataset/2021-188-1,DORIS,2021,Swedish University of Agricultural Sciences
https://researchdata.se/en/catalogue/dataset/2021-195-1,DORIS,2022,University of Gothenburg
https://researchdata.se/en/catalogue/dataset/2021-191-1,DORIS,2021,University of Gothenburg
https://researchdata.se/en/catalogue/dataset/2021-194-1,DORIS,2021,Swedish University of Agricultural Sciences
https://researchdata.se/en/catalogue/dataset/2021-193-1,DORIS,2021,Swedish University of Agricultural Sciences
https://researchdata.se/en/catalogue/dataset/2021-195-5,DORIS,2022,University of Gothenburg
https://researchdata.se/en/catalogue/dataset/2021-195-2,DORIS,2022,University of Gothenburg
https://researchdata.se/en/catalogue/dataset/2021-195-3,DORIS,2022,University of Gothenburg
https://researchdata.se/en/catalogue/dataset/2021-198-1,DORIS,2021,University of Skövde
https://researchdata.se/en/catalogue/dataset/2021-195-4,DORIS,2022,University of Gothenburg
https://researchdata.se/en/catalogue/dataset/2021-197-1,DORIS,2022,Umeå University
https://researchdata.se/en/catalogue/dataset/2021-202-1,DORIS,2021,Lund University
https://researchdata.se/en/catalogue/dataset/2021-196-1,DORIS,2022,Karolinska Institutet
https://researchdata.se/en/catalogue/dataset/2021-2-1,DORIS,2021,Stockholm University
https://researchdata.se/en/catalogue/dataset/2021-20-1,DORIS,2022,University of Gothenburg
https://researchdata.se/en/catalogue/dataset/2021-204-1,DORIS,2022,Karolinska Institutet
https://researchdata.se/en/catalogue/dataset/2021-205-1,DORIS,2022,University of Gothenburg
https://researchdata.se/en/catalogue/dataset/2021-21-1,DORIS,2022,University of Gothenburg
https://researchdata.se/en/catalogue/dataset/2021-206-1,DORIS,2021,Mid Sweden University
https://researchdata.se/en/catalogue/dataset/2021-207-1,DORIS,2021,Mid Sweden University
https://researchdata.se/en/catalogue/dataset/2021-215-1,DORIS,2021,Swedish University of Agricultural Sciences
https://researchdata.se/en/catalogue/dataset/2021-213-1,DORIS,2023,University of Gothenburg
https://researchdata.se/en/catalogue/dataset/2021-211-1,DORIS,2021,RISE Research Institutes of Sweden
https://researchdata.se/en/catalogue/dataset/2021-22-1,DORIS,2022,University of Gothenburg
https://researchdata.se/en/catalogue/dataset/2021-219-1,DORIS,2021,Chalmers University of Technology
https://researchdata.se/en/catalogue/dataset/2021-240-1,DORIS,2021,University of Skövde
https://researchdata.se/en/catalogue/dataset/2021-244-1,DORIS,2021,Tokyo Metropolitan University
https://researchdata.se/en/catalogue/dataset/2021-243-1,DORIS,2021,Chalmers University of Technology
https://researchdata.se/en/catalogue/dataset/2021-239-1,DORIS,2021,RISE Research Institutes of Sweden
https://researchdata.se/en/catalogue/dataset/2021-247-1,DORIS,2021,Stockholm University
https://researchdata.se/en/catalogue/dataset/2021-256-1,DORIS,2021,University of Gothenburg
https://researchdata.se/en/catalogue/dataset/2021-257-1,DORIS,2022,Swedish Institute of Space Physics
https://researchdata.se/en/catalogue/dataset/2021-245-1,DORIS,2025,University of Gothenburg
https://researchdata.se/en/catalogue/dataset/2021-253-1,DORIS,2021,University of Gothenburg
https://researchdata.se/en/catalogue/dataset/2021-268-1,DORIS,2021,Swedish University of Agricultural Sciences
https://researchdata.se/en/catalogue/dataset/2021-275-1,DORIS,2021,Lund University
